col1,col2,col3,col4 
_YK0451-1_YK0451-2_YK0451-3_YK0451-4_YK0451-5_YK0451-6_YK0451-7_YK0451-8______________,2018-02-15,Y6023D+,Y3883D
_YK0455-1_YK0455-2_YK0455-3_YK0455-4__________________,2018-02-15,Y5731D+,Y3888D
_YK0449-1_YK0449-2_YK0449-3_YK0449-4__________________,2018-02-15,Y5731D+,Y3933D
_LK0444-1_LK0444-2_LK0444-3___________________,2018-02-14,L7066D+,L5205D
_LK0443-1_LK0443-2_LK0443-3_LK0443-4_LK0443-5_LK0443-6_LK0443-7_LK0443-8_LK0443-9_LK0443-10_LK0443-11_LK0443-12__________,2018-02-14,L7066D+,L8054D
_LK0442-1_LK0442-2____________________,2018-02-14,L4770D+,L8123D
_YK0439-1_YK0439-2_YK0439-3_YK0439-4_YK0439-5_YK0439-6_YK0439-7_YK0439-8_YK0439-9_____________,2018-02-14,Y6094D+,Y11493D
_YK0437-1_YK0437-2_YK0437-3_YK0437-4_YK0437-5_YK0437-6________________,2018-02-14,Y5731D+,Y3848D
_YK0445-1_YK0445-2_YK0445-3_YK0445-4_YK0445-5_YK0445-6_YK0445-7_______________,2018-02-14,Y6094D+,Y3903D
_YK0436-1_YK0436-2_YK0436-3_YK0436-4__________________,2018-02-14,Y6094D+,Y4036D
_YK0440-1_YK0440-2_YK0440-3_YK0440-4__________________,2018-02-14,Y6023D+,YJ0137-1
__,2018-02-13,L7120D+,L7992D
_LK0434-1_LK0434-2_LK0434-3_LK0434-4_LK0434-5_________________,2018-02-13,L4770D+,L8507D
_LK0424-1_LK0424-2_LK0424-3_LK0424-4_LK0424-5_LK0424-6_LK0424-7_LK0424-8______________,2018-02-12,L4770D+,L7782D
_LK0429-1_LK0429-2_LK0429-3_LK0429-4_LK0429-5_LK0429-6_LK0429-7_______________,2018-02-12,L4770D+,L8274D
_YK0422-1_YK0422-2_YK0422-3_YK0422-4_YK0422-5_YK0422-6________________,2018-02-12,Y6035D+,Y3688D
_YK0427-1_YK0427-2_YK0427-3_YK0427-4__________________,2018-02-12,Y6035D+,Y3809D
_YK0428-1_YK0428-2_YK0428-3_YK0428-4_YK0428-5_YK0428-6_YK0428-7_YK0428-8_YK0428-9_____________,2018-02-12,Y6035D+,Y3928D
_YK0425-1_YK0425-2_YK0425-3_YK0425-4__________________,2018-02-12,Y6035D+,Y4092D
__,2018-02-12,Y6035D+,Y4101D
_YK0420-1_YK0420-2_YK0420-3_YK0420-4_YK0420-5_YK0420-1+_YK0420-2+_YK0420-3+_YK0420-4+_YK0420-5+____________,2018-02-11,Y5924D+,Y11096D
_YK0416-1_YK0416-2_YK0416-3_YK0416-4_YK0416-1+_YK0416-2+_YK0416-3+_YK0416-4+_YK0416-5+_YK0416-6+____________,2018-02-11,Y5731D+,Y4329D
_YK0414-1_YK0414-2_YK0414-3_YK0414-4_YK0414-1+_YK0414-2+_YK0414-3+_YK0414-4+_YK0414-5+_____________,2018-02-11,Y6035D+,Y4498D
_YK0410-1_YK0410-2_YK0410-3_YK0410-4_YK0410-5_YK0410-6_YK0410-7_YK0410-1+_YK0410-2+_YK0410-3+_YK0410-4+_YK0410-5+_YK0410-6+_YK0410-7+_YK0410-8_YK0410-9_YK0410-10_YK0410-11____,2018-02-10,Y6035D+,Y11754D
_YK0397-1_YK0397-2_YK0397-3_YK0397-4_YK0397-5_YK0397-1+_YK0397-2+_YK0397-3+_YK0397-4+_____________,2018-02-10,Y6035D+,Y4576D
_YK0345-1_YK0345-2_YK0345-3_YK0345-4_YK0345-5_________________,2018-02-02,Y5924D+,YJ0252-4
_LK0289-1_LK0289-2_LK0289-3_LK0289-4__________________,2018-01-28,L4868D+,L7754D
_LK0287-1_LK0287-2_LK0287-3_LK0287-4__________________,2018-01-28,L4868D+,L8018D
_LK0269-1_LK0269-2____________________,2018-01-27,L7120D+,L4717D
_LK0271-1_LK0271-2_LK0271-3_LK0271-4__________________,2018-01-27,L4868D+,L4978D
_YK0273-1_YK0273-2_YK0273-3_YK0273-4_YK0273-5_YK0273-6________________,2018-01-27,Y6023D+,Y3781D
_YK0284-1_YK0284-2_YK0284-3_YK0284-4_YK0284-5_YK0284-6_YK0284-7_______________,2018-01-26,Y6023D+,Y4017D
__,2018-01-24,L7396D+,L7614D
_YK0260-1_YK0260-2_YK0260-3_YK0260-4_YK0260-1+_YK0260-2+_YK0260-3+_YK0260-4+______________,2018-01-24,Y6035D+,Y3798D
_LK0254-1_LK0254-2_LK0254-3_LK0254-4_LK0254-5_LK0254-6_LK0254-7_LK0254-8_LK0254-9_____________,2018-01-23,L7029D+,L4647D
_LK0230-1_LK0230-2_LK0230-3_LK0230-1+_LK0230-2+_LK0230-3+_LK0230-4+_______________,2018-01-23,L7170D+,L4816D
_LK0253-1_LK0253-2_LK0253-3_LK0253-4_LK0253-5_LK0253-6_LK0253-1+_LK0253-2+_LK0253-3+_____________,2018-01-23,L7396D+,L7752D
_LK0246-1_LK0246-2_LK0246-3_LK0246-4_LK0246-5_________________,2018-01-22,L7170D+,L4622D
_LK0245-1_LK0245-2_LK0245-3___________________,2018-01-22,L7066D+,L4951D
_YK0241-1_YK0241-2_YK0241-3_YK0241-4_YK0241-5_YK0241-6_YK0241-7_YK0241-8______________,2018-01-22,Y6035D+,Y3905D
_LK0252-1_LK0252-2_LK0252-3_LK0252-4_LK0252-5_LK0252-6________________,2018-01-21,L7396D+,L4794D
_LK0239-1_LK0239-2_LK0239-3_LK0239-4__________________,2018-01-21,L7396D+,L4864D
_YK0232-1_YK0232-2_YK0232-3___________________,2018-01-21,Y6213D+,Y3352D
_YK0222-1_YK0222-2_YK0222-3_YK0222-4_YK0222-5_YK0222-6________________,2018-01-21,Y6094D+,Y3475D
